"REINA BEATRIX INTL","TNCA","12.501389:-70.015221"
"TOCUMWAL","YTOC","-35.811667:145.608056"
"COOBER PEDY","YCBP","-29.040000:134.720833"
"WARREN","YWRN","-31.733333:147.802500"
"PORT PIRIE","YPIR","-33.238889:137.995000"
"SCONE","YSCO","-32.037222:150.832222"
"DEVONPORT","YDPO","-41.169722:146.430278"
"LOCKHART RIVER","YLHR","-12.786944:143.304722"
"ROMA","YROM","-26.545000:148.774722"
"COONABARABRAN","YCBB","-31.332500:149.267222"
"MELBOURNE MOORABBIN","YMMB","-37.975833:145.102222"
"MACKAY","YBMK","-21.171667:149.179722"
"STAWELL","YSWL","-37.071667:142.740556"
"ARMIDALE","YARM","-30.528056:151.617222"
"FORBES","YFBS","-33.363611:147.935000"
"RICHMOND","YSRI","-33.600556:150.780833"
"JULIA CREEK","YJLC","-20.668333:141.722500"
"TOOWOOMBA","YTWB","-27.542778:151.916389"
"THARGOMINDAH","YTGM","-27.986389:143.810833"
"NORMANTON","YNTN","-17.683611:141.070278"
"GOONDIWINDI","YGDI","-28.521389:150.320278"
"ALPHA","YAPH","-23.646111:146.583611"
"LAVERTON","YLTN","-28.613611:122.423889"
"WILCANNIA","YWCA","-31.526389:143.374722"
"NARACOORTE","YNRC","-36.985278:140.725000"
"ORANGE","YORG","-33.381667:149.133056"
"STREAKY BAY","YKBY","-32.835833:134.292778"
"SWAN HILL","YSWH","-35.375833:143.532778"
"BALLINA BYRON GATEWAY","YBNA","-28.833889:153.562500"
"EAST SALE","YMES","-38.098889:147.149444"
"BENDIGO","YBDG","-36.739444:144.329722"
"MAREEBA","YMBA","-17.069167:145.419167"
"BREWARRINA","YBRW","-29.973889:146.816667"
"WHYALLA","YWHA","-33.058889:137.514444"
"SYDNEY INTL","YSSY","-33.946111:151.177222"
"CLEVE","YCEE","-33.709722:136.504722"
"GLADSTONE","YGLA","-23.869722:151.222778"
"NEWMAN","YNWN","-23.417778:119.802778"
"ALBURY","YMAY","-36.067778:146.958056"
"INNISFAIL","YIFL","-17.559444:146.011667"
"CLERMONT","YCMT","-22.773056:147.620556"
"ROCKHAMPTON","YBRK","-23.381944:150.475278"
"HORSHAM","YHSM","-36.669722:142.172778"
"WILLIAMTOWN","YWLM","-32.795000:151.834444"
"DONALD","YDOD","-36.360278:143.007500"
"PERTH JANDAKOT","YPJT","-32.097500:115.881111"
"OLYMPIC DAM","YOLD","-30.485000:136.876667"
"BOULIA","YBOU","-22.913333:139.899722"
"KINGAROY","YKRY","-26.580833:151.841111"
"MIDDLEMOUNT","YMMU","-22.802500:148.704722"
"LEIGH CREEK","YLEC","-30.598333:138.425833"
"WEST SALE","YWSL","-38.091667:146.965278"
"CAMDEN","YSCN","-34.040278:150.687222"
"CHARTERS TOWERS","YCHT","-20.043056:146.273056"
"ESPERANCE","YESP","-33.684444:121.822778"
"BORROLOOLA","YBRL","-16.075278:136.302222"
"BROOME INTL","YBRM","-17.944722:122.231667"
"ROTTNEST ISLAND","YRTI","-32.006667:115.539722"
"ELCHO ISLAND","YELD","-12.019444:135.570556"
"MUDGEE","YMDG","-32.562500:149.611111"
"RICHMOND","YRMD","-20.701944:143.114722"
"MOOMBA","YOOM","-28.099444:140.196944"
"DOOMADGEE","YDMG","-17.940278:138.821667"
"HERVEY BAY","YHBA","-25.318889:152.880278"
"CHILLAGOE","YCGO","-17.142778:144.528889"
"PARKES","YPKS","-33.131389:148.239167"
"TOWNSVILLE","YBTL","-19.252500:146.765278"
"KOWANYAMA","YKOW","-15.485556:141.751389"
"EDINBURGH","YPED","-34.702500:138.620833"
"COOTAMUNDRA","YCTM","-34.623889:148.028056"
"MORANBAH","YMRB","-22.057778:148.077500"
"ALICE SPRINGS","YBAS","-23.806667:133.902222"
"INVERELL","YIVL","-29.888333:151.144167"
"KARRATHA","YPKA","-20.712222:116.773333"
"WYNYARD","YWYY","-40.998889:145.731111"
"ADELAIDE INTL","YPAD","-34.945000:138.530556"
"JERVIS BAY","YJBY","-35.147222:150.697222"
"LISMORE","YLIS","-28.830278:153.260000"
"AYERS ROCK CONNELLAN","YAYE","-25.186111:130.975556"
"PARABURDOO","YPBO","-23.171111:117.745278"
"PERTH INTL","YPPH","-31.940278:115.966944"
"ADELAIDE PARAFIELD","YPPF","-34.793333:138.633056"
"BAIRNSDALE","YBNS","-37.887500:147.567778"
"COBAR","YCBA","-31.538333:145.793889"
"KALGOORLIE BOULDER","YPKG","-30.789444:121.461667"
"WEST WYALONG","YWWL","-33.937222:147.191389"
"DUBBO","YSDU","-32.216667:148.574722"
"RENMARK","YREN","-34.196389:140.673889"
"SYDNEY BANKSTOWN","YSBK","-33.924444:150.988333"
"NARRABRI","YNBR","-30.319167:149.827222"
"GRIFFITH","YGTH","-34.250833:146.067222"
"BALLARAT","YBLT","-37.511667:143.791111"
"BALRANALD","YBRN","-34.623611:143.578333"
"PORT AUGUSTA","YPAG","-32.506944:137.716667"
"KUNUNURRA","YPKU","-15.778056:128.707500"
"DENILIQUIN","YDLQ","-35.559444:144.946389"
"LAUNCESTON","YMLT","-41.545278:147.214167"
"HAMILTON ISLAND","YBHM","-20.358056:148.951667"
"ST GEORGE","YSGE","-28.049722:148.595278"
"MILDURA","YMIA","-34.229167:142.085556"
"QUILPIE","YQLP","-26.612222:144.252778"
"MANINGRIDA","YMGD","-12.056111:134.234167"
"MELBOURNE INTL","YMML","-37.673333:144.843333"
"MAROOCHYDORE SUNSHINE COAST","YBMC","-26.603333:153.091111"
"AMBERLEY","YAMB","-27.640556:152.711944"
"NARRANDERA","YNAR","-34.702222:146.512222"
"BROKEN HILL","YBHI","-32.001389:141.471667"
"MEEKATHARRA","YMEK","-26.611667:118.547778"
"BURKETOWN","YBKT","-17.748611:139.534444"
"CUNDERDIN","YCUN","-31.622223:117.216667"
"WUDINNA","YWUD","-33.043333:135.447222"
"ECHUCA","YECH","-36.157222:144.761944"
"GLEN INNES","YGLI","-29.675000:151.689444"
"BUNDABERG","YBUD","-24.903889:152.318611"
"HOXTON PARK","YHOX","-33.909722:150.852222"
"NARROMINE","YNRM","-32.214722:148.225000"
"EMERALD","YEML","-23.567500:148.179167"
"WINTON","YWTN","-22.363611:143.085556"
"SMITHTON","YSMI","-40.835000:145.083611"
"WOOMERA","YPWR","-31.144167:136.816944"
"SHARK BAY","YSHK","-25.893889:113.577222"
"GRAFTON","YGFN","-29.759444:153.030000"
"KEMPSEY","YKMP","-31.074444:152.769722"
"YUENDUMU","YYND","-22.254167:131.782222"
"CLONCURRY","YCCY","-20.668611:140.504444"
"WOLLONGONG","YWOL","-34.561111:150.788611"
"DERBY","YDBY","-17.370000:123.660556"
"PORT LINCOLN","YPLC","-34.605278:135.880278"
"NGUKURR","YNGU","-14.722778:134.747500"
"HAMILTON","YHML","-37.648889:142.065278"
"BLACKALL","YBCK","-24.427778:145.428611"
"ARGYLE","YARG","-16.636944:128.451389"
"ISISFORD","YISF","-24.258333:144.425000"
"HOBART","YMHB","-42.836111:147.510278"
"MELBOURNE ESSENDON","YMEN","-37.728056:144.901944"
"HOPETOUN","YHPN","-35.715278:142.359722"
"NOWRA","YSNW","-34.948889:150.536944"
"HAY","YHAY","-34.531389:144.829722"
"IVANHOE","YIVO","-32.883333:144.310000"
"MOREE","YMOR","-29.498889:149.844722"
"COROWA","YCOR","-35.994722:146.356667"
"WARRACKNABEAL","YWKB","-36.321111:142.419444"
"CORRYONG","YCRG","-36.182778:147.887778"
"PEARCE","YPEA","-31.667778:116.015000"
"THANGOOL","YTNG","-24.493889:150.576111"
"MANGALORE","YMNG","-36.888333:145.184167"
"TINDAL","YPTN","-14.521111:132.377778"
"WINDORAH","YWDH","-25.413056:142.667222"
"GYMPIE","YGYM","-26.282778:152.701944"
"BATHURST ISLAND","YBTI","-11.769167:130.619722"
"BIRDSVILLE","YBDV","-25.897500:139.347500"
"CONDOBOLIN","YCDO","-33.064444:147.209167"
"HILLSTON","YHLS","-33.493333:145.523333"
"PROSERPINE WHITSUNDAY COAST","YBPN","-20.495000:148.552222"
"WALGETT","YWLG","-30.032778:148.125833"
"GERALDTON","YGEL","-28.796111:114.707500"
"DYSART","YDYS","-22.622222:148.363889"
"LATROBE VALLEY","YLTV","-38.207222:146.470278"
"GINGIN","YGIG","-31.465278:115.863333"
"AYR","YAYR","-19.584444:147.329167"
"TEMORA","YTEM","-34.421389:147.511667"
"BARROW ISLAND","YBWX","-20.864444:115.406111"
"WANGARATTA","YWGT","-36.415833:146.306944"
"EVANS HEAD","YEVD","-29.093333:153.420278"
"COFFS HARBOUR","YSCH","-30.320556:153.116389"
"INGHAM","YIGM","-18.660556:146.151667"
"BOURKE","YBKE","-30.039167:145.951667"
"MARYBOROUGH","YMYB","-25.513333:152.715000"
"MORUYA","YMRY","-35.897778:150.144444"
"BLACKWATER","YBTR","-23.603056:148.806944"
"BEDOURIE","YBIE","-24.346111:139.460278"
"KINGSCOTE","YKSC","-35.713889:137.521389"
"CANBERRA","YSCB","-35.306944:149.195000"
"LEARMONTH","YPLM","-22.235556:114.088611"
"GUNNEDAH","YGDH","-30.961111:150.250556"
"GARDEN POINT","YGPT","-11.402500:130.421944"
"WYNDHAM","YWYM","-15.511389:128.153056"
"MILINGIMBI","YMGB","-12.094444:134.893611"
"PORT KEATS","YPKT","-14.250000:129.529167"
"OENPELLI","YOEN","-12.325000:133.005556"
"JABIRU","YJAB","-12.658333:132.893056"
"RAMINGINING","YRNG","-12.356389:134.897500"
"NUMBULWAR","YNUM","-14.271667:135.716667"
