"REINA BEATRIX INTL","TNCA","12.501389:-70.015221"
"COLUMBUS MUNI","KBAK","39.261919:-85.896344"
"SCOTT FLD","KZ","35.637800:-88.127994"
"FRANKLIN FIELD","KZ","38.304914:-121.429675"
"IDLEWILD","KZ","29.776611:-99.359211"
"MAQUOKETA MUNI","KZ","42.050076:-90.738806"
"ALTOONA BLAIR CO","KAOO","40.296372:-78.320022"
"FORT BRIDGER","KZ","41.391937:-110.406797"
"COLORADO SPRINGS EAST","KZ","38.874439:-104.409964"
"DIXON","KZ","41.038297:-107.497286"
"CALIFORNIA CITY MUNI","KZ","35.151250:-118.016667"
"SCHERTZ FLD","KZ","40.482167:-88.267556"
"DYESS AFB","KDYS","32.420756:-99.854600"
"SOUTH ARKANSAS RGNL AT GOODWIN FLD","KELD","33.220972:-92.813278"
"KEY FLD","KMEI","32.332639:-88.751861"
"LA GUARDIA","KLGA","40.777245:-73.872608"
"LEESVILLE","KZ","31.168611:-93.342500"
"CHRISTMAN FIELD","KZ","40.597206:-105.143592"
"KENTUCKY DAM STATE PARK","KZ","37.009500:-88.295867"
"CARRIZOZO MUNI","KZ","33.648861:-105.895686"
"ASHLAND CO","KZ","40.902972:-82.255639"
"TALLAHASSEE RGNL","KTLH","30.396528:-84.350333"
"THOMAS P STAFFORD","KZ","35.544831:-98.668492"
"COCHISE COLLEGE","KZ","31.371111:-109.689720"
"WINDER BARROW","KZ","33.982861:-83.667417"
"OCEANSIDE MUNI","KZ","33.217325:-117.354167"
"BACON CO","KZ","31.536056:-82.506556"
"MARLIN","KZ","31.340667:-96.852028"
"ROBERT J MILLER AIR PARK","KZ","39.927497:-74.292381"
"HOGUE","KZ","35.638956:-85.397192"
"SAGINAW CO H W BROWNE","KZ","43.433411:-83.862333"
"O S WYATT","KZ","27.421703:-98.604461"
"MOSES POINT","PA","64.698183:-162.057300"
"HILLSDALE MUNI","KZ","41.921261:-84.585764"
"RIDGELAND","KZ","32.492686:-80.992331"
"ROUNDUP","KZ","46.474997:-108.543397"
"CHRISTMAS VALLEY","KZ","43.236530:-120.666097"
"BAY CITY MUNI","KZ","28.973256:-95.863456"
"NEW WARDEN","KZ","46.965381:-119.066414"
"DUPAGE","KZ","41.907778:-88.248611"
"ROBERT SIBLEY","KZ","35.202950:-88.498360"
"WACO RGNL","KACT","31.611289:-97.230519"
"AVI SUQUILLA","KZ","34.150639:-114.271222"
"GLASGOW INDUSTRIAL","KZ","48.421106:-106.527703"
"ECHO BAY","KZ","36.311089:-114.463867"
"AUGUSTA STATE","KZ","44.320647:-69.797317"
"HOLLANDALE MUNI","KZ","33.182622:-90.830656"
"PHIFER AFLD","KZ","42.055511:-104.928617"
"LAWRENCE MUNI","KZ","39.011153:-95.216578"
"ANADARKO MUNI","KZ","35.052194:-98.264306"
"STUART POWELL FLD","KZ","37.577917:-84.769694"
"LUDINGTON","KZ","43.922233:-82.748547"
"CHANDLER FLD","KAXN","45.866297:-95.394669"
"HAGERSTOWN RGNL RICHARD A HENSON FLD","KHGR","39.707944:-77.729500"
"PINE SHADOWS AIRPARK","KZ","26.732847:-81.897308"
"GOSHEN MUNI","KZ","41.526406:-85.792881"
"LIMINGTON HARMON","KZ","43.763028:-70.672472"
"DUTCH JOHN","KZ","40.917736:-109.390692"
"HAMLIN MUNI","KZ","32.850109:-100.137880"
"PORTALES MUNI","KZ","34.145472:-103.410333"
"WATERTOWN RGNL","KATY","44.913981:-97.154719"
"AINSWORTH MUNI","KZ","42.579222:-99.992972"
"PANGBORN MEM","KZ","47.398861:-120.206861"
"CHIRIACO SUMMIT","KZ","33.665298:-115.710544"
"A A RANCH","KZ","41.158302:-106.557530"
"BELLE PLAINE MUNI","KZ","41.878777:-92.284569"
"THOMPSON DRAG RACEWAY","KZ","41.647000:-81.008706"
"HILLSBORO MUNI","KZ","32.083486:-97.097228"
"ODESSA MUNI","KZ","47.347569:-118.677233"
"PANOLA CO","KZ","34.363472:-89.892558"
"ROBERTSON FLD","KZ","41.690378:-72.864822"
"SIDNEY MUNI","KZ","42.302581:-75.415955"
"AURORA MUNI","KZ","41.771931:-88.475658"
"SUFFOLK EXECUTIVE","KZ","36.682353:-76.601872"
"FAYETTE RGNL AIR CNTR","KZ","29.907972:-96.950014"
"STENNIS INTL","KZ","30.367807:-89.454611"
"CAMDEN MUNI","KZ","31.979747:-87.339117"
"MOREHOUSE MEM","KZ","32.755056:-91.881944"
"CHEMEHUEVI VALLEY","KZ","34.527512:-114.431070"
"TWIN COUNTY","KZ","36.766114:-80.823567"
"DUPLIN CO","KZ","35.000064:-77.981694"
"BLACKHAWK","KZ","43.104914:-89.185539"
"PRAIRIE DU CHIEN MUNI","KZ","43.019286:-91.123733"
"JACKSONVILLE NAS","KNIP","30.235834:-81.680556"
"THOMPSON ROBBINS","KZ","34.576489:-90.675886"
"MONTAUK","KZ","41.076456:-71.920769"
"YELLOWSTONE","KWYS","44.688400:-111.117640"
"MERIDEN MARKHAM MUNI","KZ","41.508714:-72.829478"
"LEWISTOWN MUNI","KLWT","47.049250:-109.466694"
"STANLY CO","KZ","35.416694:-80.150794"
"MC KELLAR SIPES RGNL","KMKL","35.599889:-88.915611"
"BRIGHTON VAN AIRE ESTATES","KZ","39.983040:-104.704689"
"BISHOP INTL","KFNT","42.965425:-83.743631"
"AVON PARK EXECUTIVE","KZ","27.591167:-81.527833"
"NORTHUMBERLAND CO","KZ","40.836945:-76.552498"
"WILLARD","KZ","41.038750:-82.724564"
"ALLEN H TIGERT","KZ","42.641589:-111.579944"
"FRENCH VALLEY","KZ","33.574178:-117.128472"
"HERNANDO CO","KZ","28.473597:-82.455421"
"RESERVE","KZ","33.694167:-108.849444"
"CARROLL CO RGNL JACK B POAGE FLD","KZ","39.608278:-77.007667"
"LANE AIRPARK","KZ","29.524406:-95.775228"
"WILLIAM R POGUE MUNI","KZ","36.175275:-96.151842"
"CAMPBELL","KZ","42.324611:-88.074089"
"ORANGEBURG MUNI","KZ","33.456800:-80.859497"
"SKY RANCH","KZ","35.795254:-115.627228"
"LANDINGS CONDOMINIUM","KZ","42.143081:-88.402861"
"HASTINGS","KZ","42.663616:-85.346258"
"DILLEY AIRPARK","KZ","28.685535:-99.189201"
"CUSTER STATE PARK","KZ","43.724989:-103.350472"
"LUSK MUNI","KZ","42.753808:-104.404553"
"SEAGRAVES","KZ","32.954553:-102.540897"
"GUSTINE","KZ","37.262718:-120.963258"
"STEAMBOAT SPRINGS BOB ADAMS FLD","KZ","40.516258:-106.866300"
"DYERSBURG RGNL","KZ","35.997978:-89.406589"
"HAROLD DAVIDSON FLD","KZ","42.765289:-96.934256"
"ZAMPERINI FLD","KZ","33.803392:-118.339611"
"CURTIS L BROWN JR FIELD","KZ","34.601806:-78.579272"
"AGUA DULCE AIRPARK","KZ","34.504158:-118.312856"
"FULTON CO","KZ","42.998211:-74.329550"
"DRAUGHON MILLER CENTRAL TEXAS RGNL","KTPL","31.152500:-97.407778"
"SIDNEY MUNI","KZ","40.241428:-84.150883"
"HAINES","PAHN","59.243831:-135.523539"
"MOUNDRIDGE MUNI","KZ","38.209092:-97.502725"
"TIERRA LINDA RANCH","KZ","30.133539:-99.150319"
"FRANKLIN CO","KZ","33.215444:-95.237442"
"CAMPBELL MUNI","KZ","36.486172:-90.008425"
"ALLEGHENY CO","KAGC","40.354403:-79.930169"
"ST CHARLES CO SMARTT","KZ","38.929695:-90.429962"
"WARREN MUNI","KZ","33.560444:-92.085388"
"ROBERT F SWINNIE","KZ","33.451700:-79.526178"
"MOLOKAI","PHMK","21.152886:-157.096256"
"ZAPATA CO","KZ","26.968786:-99.248909"
"CIELO DORADO ESTATES","KZ","31.909269:-106.641103"
"MOULTRIE MUNI","KZ","31.084917:-83.803250"
"MARSHFIELD MUNI","KZ","44.636881:-90.189328"
"GODMAN AAF","KFTK","37.907058:-85.972106"
"NEW RIVER MCAS","KNCA","34.708417:-77.439667"
"CROOKSTON MUNI KIRKWOOD FLD","KZ","47.841694:-96.621620"
"SHREVEPORT DOWNTOWN","KZ","32.540219:-93.745022"
"FRANKLIN CO","KZ","34.340106:-83.133483"
"ENNIS BIG SKY","KZ","45.271758:-111.648639"
"OWENSBORO DAVIESS CO","KOWB","37.740111:-87.166833"
"SAN ANGELO RGNL MATHIS FLD","KSJT","31.357750:-100.496306"
"CALEXICO INTL","KCXL","32.669502:-115.513330"
"GETTYSBURG MUNI","KZ","44.986714:-99.952833"
"TORRINGTON MUNI","KZ","42.064548:-104.152700"
"MID VALLEY","KZ","26.177639:-97.973056"
"TELLURIDE RGNL","KZ","37.953758:-107.908480"
"LAMAR MUNI","KZ","38.069694:-102.688500"
"BRENNER FLD","KZ","40.078786:-95.591992"
"NEW TAZEWELL MUNICIPAL","KZ","36.410083:-83.555461"
"CHICO MUNI","KZ","39.795383:-121.858422"
"TRACY MUNI","KZ","44.249114:-95.607261"
"BLAIRSVILLE","KZ","34.855087:-83.996856"
"AG AIR INC","KZ","26.073133:-97.537486"
"BURLINGTON INTL","KBTV","44.471861:-73.153278"
"GOGEBIC IRON CO","KZ","46.527475:-90.131397"
"JACKSONVILLE INTL","KJAX","30.494056:-81.687861"
"MONROE CO","KZ","31.458031:-87.351047"
"STILLWATER RGNL","KSWO","36.161222:-97.085694"
"BRADFORD RGNL","KBFD","41.803067:-78.640122"
"DOWNTOWN AIRPARK","KZ","35.449228:-97.533094"
"DECATUR","KDEC","39.834564:-88.865689"
"CAPOZZOLI","KZ","30.350277:-90.922226"
"GRAYSON CO","KZ","33.714111:-96.673667"
"EL DORADO SPRINGS MEM","KZ","37.856672:-93.999114"
"EMPORIA GREENSVILLE RGNL","KZ","36.686917:-77.482806"
"AUGUSTA MUNI","KZ","37.671627:-97.077873"
"DALTON MUNI","KZ","34.722936:-84.870242"
"SALINE CO WATTS FLD","KZ","34.556564:-92.606939"
"FRY","KZ","40.188383:-84.256056"
"DURANGO LA PLATA CO","KZ","37.151516:-107.753770"
"IRON CO","KZ","46.009133:-88.273900"
"MID STATE","KZ","40.884392:-78.087342"
"VAN NUYS","KZ","34.209811:-118.489972"
"GATLINBURG PIGEON FORGE","KZ","35.857758:-83.528706"
"MORAN FLD","KZ","39.500648:-79.072253"
"LAKEWOOD","KZ","40.066803:-74.177669"
"DUCHESNE MUNI","KZ","40.191902:-110.380990"
"CENTERVILLE MUNI","KZ","40.683903:-92.901033"
"WAKEMAN","KZ","41.293106:-82.370719"
"FORD ARABIAN RANCH","KZ","30.010489:-98.425297"
"PERKINS PROTHRO CIMARRON RANCH","KZ","36.508358:-102.392125"
"RUSSELL CO","KZ","37.009697:-85.102736"
"TREUTLEN CO","KZ","32.387675:-82.563744"
"BRAINERD LAKES RGNL","KZ","46.398308:-94.138078"
"DOYLESTOWN","KZ","40.333050:-75.122339"
"WORTHINGTON MUNI","KZ","43.655067:-95.579208"
"LACONIA MUNI","KZ","43.572728:-71.418900"
"BEATTY","KZ","36.861057:-116.787003"
"SMITH FLD","KZ","41.143353:-85.152778"
"FERGUSON","KZ","30.398809:-87.348587"
"YUCCA VALLEY","KZ","34.127785:-116.407790"
"WATFORD CITY MUNI","KZ","47.795700:-103.253700"
"MEADE MUNI","KZ","37.276861:-100.356500"
"WAYNE CO","KZ","36.855278:-84.856139"
"CAVALIER MUNI","KZ","48.783839:-97.631931"
"WILLISTON MUNI","KZ","29.354219:-82.472883"
"GRANDFIELD MUNI","KZ","34.237589:-98.742008"
"CAMP PEARY LANDING STRIP","KZ","37.305557:-76.637497"
"WHITE FARMS","KZ","29.512739:-82.874844"
"WASHINGTON DULLES INTL","KIAD","38.944533:-77.455811"
"EASTERWOOD FLD","KCLL","30.588583:-96.363833"
"METHOW VALLEY STATE","KZ","48.424947:-120.145886"
"CAMBRIDGE MUNI","KZ","39.975039:-81.577586"
"PLYMOUTH MUNI","KZ","41.909028:-70.728778"
"WESTHOPE MUNI","KZ","48.913353:-101.033490"
"CROSS KEYS","KZ","39.705475:-75.033003"
"FELTS FLD","KSFF","47.682819:-117.322558"
"JUNCTION","KZ","38.249977:-112.225480"
"NUT TREE","KZ","38.376753:-121.962456"
"ROOSEVELT MEM","KZ","32.933461:-84.688817"
"GENERAL MITCHELL INTL","KMKE","42.947222:-87.896583"
"MADISON","KZ","37.630847:-84.332336"
"CLEARWATER AIR PARK","KZ","27.976686:-82.758742"
"DELAWARE AIRPARK","KZ","39.218375:-75.596428"
"OCEAN CITY MUNI","KZ","38.310444:-75.123972"
"SAUK CENTRE MUNI","KZ","45.706561:-94.933397"
"MISSION FLD","KZ","45.699390:-110.448303"
"ABILENE RGNL","KABI","32.411319:-99.681897"
"BUTLER MEM","KZ","38.289769:-94.340128"
"BLOOMFIELD MUNI","KZ","40.732105:-92.428269"
"AKRON CANTON RGNL","KCAK","40.916083:-81.442194"
"DUNTON RANCH","KZ","35.285289:-113.360830"
"GREENVILLE DOWNTOWN","KZ","34.847944:-82.350000"
"COPIAH CO","KZ","31.902936:-90.368703"
"DARLINGTON CO JETPORT","KZ","34.449383:-79.890061"
"MERKEL FLD SYLACAUGA MUNI","KZ","33.171837:-86.305539"
"PYRAMID RANCH","KZ","31.862664:-96.197472"
"ERIE MUNICIPAL","KZ","40.010225:-105.047975"
"MACKINAC CO","KZ","45.891667:-84.738056"
"OAKES MUNI","KZ","46.173019:-98.079875"
"MANSFIELD MUNI","KZ","37.127831:-92.621002"
"TALLADEGA MUNI","KZ","33.569917:-86.050861"
"DONA ANA COUNTY AT SANTA TERESA","KZ","31.880985:-106.704814"
"EAKER FLD","KZ","33.942264:-96.394519"
"MCCARLEY FLD","KZ","43.209250:-112.349586"
"WEST KERR RANCH","KZ","30.136314:-99.743675"
"ANGEL FIRE","KZ","36.422000:-105.289906"
"MAYFIELD GRAVES CO","KZ","36.769119:-88.584722"
"HONDO MUNI","KZ","29.359528:-99.176667"
"BAKERSFIELD MUNI","KZ","35.324833:-118.995833"
"JOHNSON CO EXECUTIVE","KZ","38.847603:-94.737587"
"MINNKOTA PVT","KZ","47.082217:-101.267092"
"CASEY THREE RANCH","KZ","29.633283:-99.728667"
"ALLENDALE CO","KZ","32.995131:-81.270247"
"DAYTON WRIGHT BROTHERS","KZ","39.588972:-84.224861"
"COLUMBIA RGNL","KCOU","38.818094:-92.219631"
"CRANE CO","KZ","31.415140:-102.362920"
"GARRISON MUNI","KZ","47.655944:-101.437222"
"HOUSTON COUNTY","KZ","36.316722:-87.916694"
"OTTUMWA INDUSTRIAL","KOTM","41.106597:-92.447939"
"PORTLAND INTL","KPDX","45.588722:-122.597500"
"COTTONWOOD MUNI","KZ","46.038769:-116.331536"
"SARASOTA BRADENTON INTL","KSRQ","27.395444:-82.554389"
"LAKE BARKLEY STATE PARK","KZ","36.817814:-87.907525"
"BARNES CO MUNI","KZ","46.941008:-98.017625"
"HARRISBURG RALEIGH","KZ","37.811256:-88.550258"
"NEW TOWN MUNI","KZ","47.966958:-102.477958"
"ANTRIM CO","KZ","44.988575:-85.198356"
"CINCINNATI WEST","KZ","39.258944:-84.774306"
"CARBON CO","KZ","39.613917:-110.751419"
"MASON CO","KZ","43.962532:-86.407917"
"DADE COLLIER TRAINING AND TRANSITION","KZ","25.861806:-80.897000"
"OMAR N BRADLEY","KZ","39.463858:-92.427044"
"FAYETTE CO","KZ","39.570403:-83.420517"
"CABLE","KZ","34.111611:-117.687667"
"HOLDENVILLE MUNI","KZ","35.085876:-96.416667"
"CABLE UNION","KZ","46.194250:-91.246411"
"LAKE X","KZ","28.208624:-81.119231"
"ST LOUIS RGNL","KALN","38.890292:-90.046044"
"RICHARD DOWNING","KZ","40.309181:-81.853383"
"FORT MADISON MUNI","KZ","40.659264:-91.326817"
"PIEDMONT TRIAD INTL","KGSO","36.097750:-79.937306"
"CASA GRANDE MUNI","KZ","32.954889:-111.766833"
"SILVER BAY MUNI","KZ","47.249027:-91.415583"
"PITTSFIELD MUNI","KZ","44.768528:-69.374417"
"LAWRENCE CO AIRPARK","KZ","38.419250:-82.494322"
"RENO STEAD","KZ","39.667361:-119.876194"
"SOMERSET CO","KZ","40.039111:-79.014556"
"POLK CO CORNELIUS MOORE FLD","KZ","34.018694:-85.146472"
"KINGDON AIRPARK","KZ","38.091586:-121.359394"
"GRAND MARAIS COOK CO","KZ","47.838333:-90.382944"
"PALM BEACH INTL","KPBI","26.683161:-80.095589"
"FAULKTON MUNI","KZ","45.031919:-99.115664"
"BARTOW MUNI","KZ","27.943361:-81.783431"
"HENRY CO","KZ","36.338226:-88.382878"
"RANGELY","KZ","40.093981:-108.763044"
"LIBERTY CO","KZ","48.510722:-110.990864"
"CAIRO RGNL","KZ","37.064472:-89.219612"
"BIG TIMBER","KZ","45.806389:-109.981111"
"ROCKWELL CITY MUNI","KZ","42.387481:-94.618034"
"CAPITOL","KZ","43.087511:-88.177869"
"CRYSTAL CITY MUNI","KZ","28.697756:-99.817833"
"BELZONI MUNI","KZ","33.145181:-90.515286"
"KELLY AIRPARK","KZ","39.224667:-104.639900"
"ALTURAS MUNI","KZ","41.483000:-120.565360"
"BELRIDGE STRIP","KZ","35.468019:-119.722075"
"JOHN H BATTEN","KZ","42.760617:-87.815217"
"NEILLSVILLE MUNICIPAL","KZ","44.558128:-90.512247"
"CAMILLA MITCHELL CO","KZ","31.212917:-84.236806"
"BOLINDER FIELD TOOELE VALLEY","KZ","40.612272:-112.350772"
"FORT WORTH MEACHAM INTL","KFTW","32.819778:-97.362444"
"WASECA MUNI","KZ","44.073463:-93.552944"
"OGDENSBURG INTL","KZ","44.681854:-75.465500"
"SOMERSET PULASKI CO J T WILSON FLD","KZ","37.053394:-84.615872"
"ARENS FLD","KZ","41.092264:-86.612872"
"OTIS ANGB","KZ","41.658439:-70.521417"
"BOEING FLD KING CO INTL","KBFI","47.530000:-122.301947"
"SKYDIVE HOUSTON","KZ","29.993389:-95.930344"
"MAXSON","KZ","44.316717:-75.899673"
"GRANT MUNI","KZ","40.869528:-101.732861"
"NESS CITY MUNI","KZ","38.471104:-99.908066"
"SEARLE FLD","KZ","41.119472:-101.769694"
"CIRCLE TOWN CO","KZ","47.418619:-105.561944"
"MABEE RANCH","KZ","32.217058:-102.159867"
"MARIANNA MUNI","KZ","30.837806:-85.181889"
"LACKLAND AFB KELLY FLD ANNEX","KSKF","29.384228:-98.581108"
"HOPE MUNI","KZ","33.720089:-93.658844"
"NEW ALBANY UNION CO","KZ","34.548686:-89.024228"
"AUBURN MUNI","KZ","38.954819:-121.081725"
"MCDERMOTT AIR PARK","KZ","43.007231:-88.602044"
"LEE CREEK","KZ","35.389611:-76.784656"
"GREATER PORTSMOUTH RGNL","KZ","38.840469:-82.847314"
"HONOLULU INTL","PHIK","21.316050:-157.926680"
"TENSAS PARISH","KZ","31.997379:-91.247337"
"ROGERS MUNI CARTER FLD","KZ","36.372297:-94.106869"
"WEBSTER CITY MUNI","KZ","42.436638:-93.868861"
"ASHEBORO RGNL","KZ","35.654528:-79.894739"
"DECK","KZ","40.351778:-76.329611"
"LAKE VIKING","KZ","39.933375:-94.073836"
"DES MOINES INTL","KDSM","41.533972:-93.663083"
"NEW BRAUNFELS MUNI","KZ","29.704500:-98.042222"
"SMITHVILLE CRAWFORD MUNI","KZ","30.030481:-97.166872"
"SOUTH BIG HORN CO","KZ","44.516819:-108.082825"
"MOORE CO","KZ","35.857931:-102.013089"
"FOND DU LAC CO","KZ","43.771167:-88.488417"
"CRAVEN CO RGNL","KEWN","35.072972:-77.042944"
"ONEIDA CO","KUCA","43.145111:-75.383858"
"KANAB MUNI","KZ","37.011105:-112.531194"
"PIERCE","KZ","33.366390:-112.618060"
"SAN DIEGO INTL","KSAN","32.733556:-117.189667"
"WOOD CO","KZ","41.391000:-83.630139"
"BRAZORIA CO","KZ","29.108639:-95.462081"
"LAUGHLIN BULLHEAD INTL","KZ","35.157389:-114.559528"
"WEIDE AHP","KZ","39.391567:-76.291084"
"MEXIA LIMESTONE CO","KZ","31.639836:-96.514722"
"BOUNDARY CO","KZ","48.725822:-116.295214"
"HENRY CO","KZ","41.374278:-84.067917"
"OUTLAW FLD","KZ","36.621881:-87.414953"
"GENEVA MUNI","KZ","31.055278:-85.880333"
"SHAMROCK MUNI","KZ","35.236160:-100.184840"
"STAN STAMPER MUNI","KZ","34.034825:-95.541906"
"MADISON MUNI","KZ","33.612125:-83.460444"
"CAMDEN CO","KZ","39.778419:-74.947803"
"MONROE RGNL","KMLU","32.510864:-92.037689"
"ORANGE CO","KZ","30.069178:-93.800919"
"CHARLESTON MUNI","KZ","33.991503:-90.078144"
"HALIFAX CO","KZ","36.439456:-77.709342"
"SHAW AFB","KSSC","33.972719:-80.470564"
"CLAYTON MUNI AIRPARK","KZ","36.446153:-103.166636"
"BOWLING GREEN WARREN CO RGNL","KBWG","36.964517:-86.419681"
"LOS ALAMOS","KZ","35.879803:-106.269417"
"ONTARIO INTL","KONT","34.056000:-117.601194"
"DODGE CO","KZ","43.426583:-88.703222"
"RIDGELY AIRPARK","KZ","38.970114:-75.866325"
"SKY KING","KZ","39.547786:-87.377353"
"NEW CENTURY AIRCENTER","KZ","38.830906:-94.890303"
"PORT BUCYRUS CRAWFORD CO","KZ","40.781556:-82.974806"
"MAJORS","KZ","33.067839:-96.065333"
"IONIA CO","KZ","42.937997:-85.060525"
"BRACEVILLE","KZ","41.211167:-80.969258"
"ROSWELL INTL AIR CENTER","KROW","33.301556:-104.530556"
"PECAN PLANTATION","KZ","32.354031:-97.676414"
"TISHOMINGO AIRPARK","KZ","34.198500:-96.674500"
"WILLIAMSBURG RGNL","KZ","33.717222:-79.856972"
"BLOYER FLD","KZ","43.974964:-90.483467"
"KNOXVILLE MUNI","KZ","41.298885:-93.113817"
"TRI CO","KZ","30.845778:-85.601389"
"OSCEOLA MUNI","KZ","41.052219:-93.689661"
"WHISKEY CREEK","KZ","32.762020:-108.208380"
"PARK FALLS MUNI","KZ","45.955025:-90.424419"
"TRULOCK RANCH FLD","KZ","32.420953:-100.810947"
"CAPE GIRARDEAU RGNL","KCGI","37.225317:-89.570753"
"NORTH FORK VALLEY","KZ","38.831654:-107.645892"
"NEMACOLIN","KZ","39.805631:-79.548931"
"STONE LAND CO","KZ","36.131897:-119.985692"
"BARNES MUNI","KBAF","42.157776:-72.715553"
"CHICKASHA MUNI","KZ","35.097356:-97.967692"
"KINSLEY MUNI","KZ","37.908994:-99.403106"
"HILL CITY MUNI","KZ","39.378836:-99.831494"
"SALYER FARMS","KZ","36.088842:-119.542622"
"GREENE CO","KZ","39.900075:-80.133117"
"OZARK RGNL","KZ","36.368942:-92.470528"
"HESPERIA","KZ","34.377222:-117.315878"
"FORT ATKINSON MUNICIPAL","KZ","42.963203:-88.817628"
"RAWLINS MUNI HARVEY FLD","KZ","41.805597:-107.199940"
"LAGRANGE CALLAWAY","KZ","33.008853:-85.072600"
"BRENHAM MUNI","KZ","30.219000:-96.374278"
"COLEMAN A YOUNG MUNI","KDET","42.409195:-83.009861"
"DEVINE MUNI","KZ","29.138392:-98.941889"
"FLYING G","KZ","28.766919:-100.082842"
"NEWTON CITY CO","KZ","38.058228:-97.274517"
"ALBANY MUNI","KZ","44.637806:-123.059444"
"BERRY HILL","KZ","33.535667:-84.179086"
"IMPERIAL BEACH NOLF","KZ","32.566666:-117.116670"
"LOWE","KZ","36.862550:-87.790294"
"BENCHMARK","KZ","47.481333:-112.869767"
"FREEDOM MUNI","KZ","36.758494:-99.102011"
"GENE SNYDER","KZ","38.704236:-84.391606"
"DEL NORTE MUNI AND COUNTY","KZ","37.713615:-106.354480"
"WASHINGTON EXEC HYDE FLD","KZ","38.748261:-76.932817"
"BROWNSVILLE SOUTH PADRE ISLAND INTL","KBRO","25.906833:-97.425861"
"DOTHAN RGNL","KDHN","31.321339:-85.449628"
"STEVENSVILLE","KZ","46.525111:-114.052806"
"MOGOLLON AIRPARK","KZ","34.397259:-110.529850"
"BIDDEFORD MUNI","KZ","43.464111:-70.472389"
"LIBERTY MUNI","KZ","30.077806:-94.698556"
"BOIRE FLD","KZ","42.781750:-71.514778"
"NEW LONDON","KZ","37.271811:-79.335861"
"CLAY CNTR MUNI","KZ","39.387138:-97.157214"
"IONE MUNI","KZ","48.708053:-117.413011"
"GREYSTONE","KZ","29.280252:-82.124814"
"SKYWEST INC","KZ","31.858461:-102.074025"
"ARNOLD FIELD","KZ","35.903408:-89.397294"
"INYOKERN","KZ","35.658844:-117.829510"
"YUBA CO","KMYV","39.097772:-121.569825"
"FOUNTAINHEAD LODGE AIRPARK","KZ","35.388678:-95.600033"
"FLANDREAU MUNI","KZ","44.003860:-96.593102"
"CAPE MAY CO","KWWD","39.008507:-74.908275"
"VENANGO RGNL","KZ","41.377875:-79.860361"
"BISBEE MUNI","KZ","31.363991:-109.883130"
"FALLON NAS","KNFL","39.416584:-118.700980"
"NORTHWEST MISSOURI RGNL","KZ","40.352500:-94.915000"
"KEYSTONE AIRPARK","KZ","29.844750:-82.047528"
"LIMA ALLEN CO","KZ","40.706944:-84.026667"
"MT HAWLEY AUXILIARY","KZ","40.795258:-89.613403"
"SCHUYLKILL CO","KZ","40.706450:-76.373147"
"LIMON MUNI","KZ","39.274778:-103.665861"
"CHARLESTON EXECUTIVE","KZ","32.700861:-80.002917"
"WASCO STATE","KZ","45.589444:-120.674167"
"PRESQUE ISLE CO","KZ","45.407097:-83.812867"
"MUNDAY MUNI","KZ","33.484818:-99.586194"
"WINNSBORO MUNI","KZ","32.938844:-95.278861"
"HORSESHOE BAY AIRPARK","KZ","30.527052:-98.358747"
"WHEELER MUNI","KZ","35.451083:-100.199917"
"POPLAR BLUFF MUNI","KZ","36.773945:-90.324861"
"ESSEX CO","KZ","40.875222:-74.281356"
"JENA","KZ","31.656908:-92.157494"
"MIGNON LAIRD MUNI","KZ","35.607500:-99.704722"
"ROCK HILL YORK CO BRYANT","KZ","34.987833:-81.057167"
"MUNICIPAL","KZ","36.505611:-101.813667"
"TAZEWELL CO","KZ","37.063747:-81.798269"
"FORT SCOTT MUNI","KZ","37.798361:-94.769361"
"BRITTON MUNI","KZ","45.815222:-97.743139"
"NORTHERN AROOSTOOK RGNL","KZ","47.285503:-68.312750"
"SELFRIDGE ANGB","KMTC","42.608333:-82.835500"
"CAMILLUS","KZ","43.083401:-76.282982"
"ARCADIA MUNI","KZ","27.191994:-81.837306"
"MILLARD","KZ","41.196000:-96.111972"
"HARVEY MUNI","KZ","47.791233:-99.931742"
"NEPHI MUNI","KZ","39.738844:-111.871600"
"DEFIANCE MEM","KZ","41.337500:-84.428806"
"DAN E RICHARDS MUNI","KZ","34.027633:-100.282003"
"FOUR CORNERS RGNL","KZ","36.741250:-108.229944"
"SEARCHLIGHT","KZ","35.444435:-114.909422"
"ANSON CO","KZ","35.020639:-80.077111"
"ARTHUR DUNN AIR PARK","KZ","28.622344:-80.835694"
"COLEMAN MUNI","KZ","31.841139:-99.403611"
"IMPERIAL MUNI","KZ","40.509306:-101.620528"
"CHEBOYGAN CO","KZ","45.653711:-84.519272"
"PROSSER","KZ","46.213361:-119.791375"
"ROOSEVELT MUNI","KZ","40.278292:-110.051260"
"GRANBY GRAND CO","KZ","40.089708:-105.917236"
"SIMARON RANCH","KZ","30.148272:-95.966900"
"SEMINOLE MUNI","KZ","35.274678:-96.675161"
"SANTA MARIA PUB CPT G ALLAN HANCOCK","KSMX","34.898917:-120.457444"
"MARION CO","KZ","32.282375:-84.503528"
"CORPUS CHRISTI INTL","KCRP","27.770361:-97.501222"
"KIRK FLD","KZ","36.062894:-90.507781"
"MARION CO RGNL","KZ","36.290894:-92.590253"
"CRYSTAL RIVER","KZ","28.867278:-82.571306"
"LEESBURG EXECUTIVE","KZ","39.077972:-77.557500"
"DILLON","KZ","45.255361:-112.552506"
